,text,id
109,"Gag*. Yung dama mo yung disappointment ng lahat tapos yung isang inaasahan mo na maiintindihan ka, sya pa yung pinakadisappointed.",1543156299948445696
110,"Puta mas gusto mo pa sya kausap kaysa sa'kin e. 
A day didn't pass na di kayo nagusap. Oks.",1543155970854907904
111,"Itaga mo sa bato 'tong words na 'to ""Ano? Promotion nanaman?"" - Noel, 2022",1541718050181095424
112,"Yeah this song.

https://t.co/EhOzlJrPY7",1541330683657723904
113,Shit. I broke muhself again.,1541325188872122368
114,I don't care. I'll be spiteful all my life.,1541323444750389250
115,Spite really is the best energy,1541319574385176576
116,"Tangina o HAHAHA Tatanga tanga ka pala e 
HAHAHAHA",1539305490764922881
117,The world wants me dead and that's for sure.,1539223421325746178
118,"We have lots of pictures but I'm not shown anywhere. 
I am basically non-existent to you.",1538574732261732352
119,"Tangina netong isang hayup na 'to. 
Dahil sa kanya nasira lahat.",1537535630531391488
120,"Even if it's a little thing, please work. 
I'm already at my lowest. 
Please work. 
Just please work.",1534065413566263296
121,I fucking need help.,1533789869960355840
122,"Ikalma mo. 
Alam mo naman na kung ano pinasok mo. 
Wag ka na magsalita.",1532230898443177986
123,"Ganito every argument? 
Kill me now.",1531591937127354368
124,Tangina. Hindi nila ako makita as someone. Lagi na lang as workmate. Ah geh. Kung ganyan na lang. Edi sige. Wala naman akong problema dun e.,1527334517584715804
125,"""Para kang fireworks, papakita sa life ko then aalis din.
Iba-ibang colors, like yung different David na nakikilala ko everytime we chat.
Ang ganda mo, but at the same time ang harmful mo.
But yung experience ay worth it.""",1527259972689465346
126,"I will always be inept.
Never enough.",1526593473276571649
127,Tangina sorry na. Mahinang klase ang jowa mo.,1526593235224649733
128,Ayoko na.,1525044132502155265
129,"Oh wait, ako pala mag p-provide nun.",1524365871195426819
130,"Maging proud ka din sana sa'kin. 
Maging excited ka din sana dun. 
Maging vocal ka sana sa'kin.
Tangina, ipag malaki mo ako please.",1524365809815941120
131,"And lastly since bobo ako. 
I'd prefer it if proud ka din sa mga efforts ko today. Goddamn am I fucking tired of all the things that I've done today.",1524365625501442049
132,Damn am I selfish.,1524365465073504256
133,"In the end, I can't even provide the solace that you need.",1523490668785537024
134,Nakakairita yung pasaring and di ka diretsuhin,1523489568682483712
135,"I wish to not be aware of these feelings. 
Potato ka.",1522216175568007169
136,Di ko malilimutan yung kape na tinimpla mo para sa'kin.,1522176324814532608
137,"Can't say shit so just gonna leave it here. 
""Alam mo? This happens every time. You actually forget about me pag nandyan mga kaibigan mo.""",1504051423935311872
138,Fucking happy weekend.,1499756570309447680
139,fukcin please talk to me,1499748303214288897
140,"I have a new drinking game. 
Every time I think of something stupid I drink/",1496745763069562883
141,"Fuckit. 
I'll keep this account to myself.",1496710561760833538
142,"Only sad boi posting here 
Nothing to see",1492794104627228672
143,I wish to be dum-dum.,1491347703330406400
144,When will it all get real to me?,1491010640340676609
145,i hate how i'm so insecure about how i look and that i have this stupid notion to top everyone that's been in your past. to that i say. fuck it. ako nandito ngayon. san ka na?,1488853216368345089
146,"It should triumph over anything. 
And it does. 
I'm just scared. Insecure. 
I want clarity. I feel like I'll fucking breakdown pag nilabelan ako. FUCK.",1486267687718518787
147,"Me wanting to run away: 
Suicidal thoughts. 
Me wanting to grow: 
Arguing with myself. 
Me wanting to calm down: 
Worries intensifies.",1486262535695515649
148,David. Tama na. Proud naman na ako sa'yo. You took the risk. You made adjustments. All that's left is to let it go. Magiging mas masaya ka pag ni-let go mo. So please. Ako na mismo nagmamaka-awa sa'yo.,1486261326809006084
149,"Naiintindihan mo naman na e. Aware ka naman na. Ano pa ba kulang? David. Please? For your sanity. Please. Just let it go. Nothing will help mulling about it. 
Please. David. Tama na.",1486260552578265089
150,"Brain. Please. Shut up. Give me a break. I-let go mo na, please? Tama na. Ikaw na lang yung tanga.",1486260144690577408
151,"I don't want to be mad anymore. 
I just want to shut up and be disappointed and then disregard my disappointment later.",1486234795256745987
152,"Like really. 
You. Are. The. Now. With. Certainty. 
HOW. ARE. YOU. MORE. SCARED.",1485585648019193862
153,"Let it go. 
Focus on what you have now. 
That's how happy people live. 
You? You live in constant regret of the past and fear of the future. 
But why?",1485584834793963525
154,Tapos mabibingi ako.,1485150571526975488
155,"I wish to have headphones louder than my thoughts.
Putangina.",1485149623232589824
156,"You know what's my greatest worry? 
Well, wala pa nga label and what if sabihin nya sa'kin bukas na 
""Wala naman tayo label, inentertain lang kita"" 
I know na di nya sasabihin yun but this is me overthinking.",1484570800766484481
157,"Always. Insecure. Never.
""Confident ako sa'yo""",1484395175359414272
158,Ang unfair ko naman.,1484026435878944770
159,"Kasi kung di ko iniisip yun, edi hindi problema yun. 
Ano ba toyo ko?",1484026393264812033
160,"It's just a constant battle of ""Don't fucking get insecure.""",1484025617419235329
161,Anyways,1484025411093020672
162,"I'm redefining how I think love should be. 
It's definitely challenging.",1483799639686287366
163,"I'm a fucking idiot. 
I don't the ABC's of relationship. 
I don't know anything at all. 
I REALLY FUCKING DON'T. 
EVERYTHING IS NEW.  
SO WHAT DO I FUCKING DO?",1483723165167931395
164,I'm already tired of the game just after 1.,1483666213804777472
165,"So after some deep realization and some rational thinking. I don't know how I think I should feel. 
Which is bad. I shouldn't think about how I feel.",1483653929388838912
166,I can't anymore with the no sleep.,1479613583377907713
167,I... really need to do something to keep my mind off of things.,1478618465925681153
168,"That one person I would love to like the post still hasn't liked the post. Idek why? Was I too cheesy? Too showy? What's wrong? I shouldn't mind it right? 
Yeah. Omks.",1478381761600307201
169,THIS YEAR: Di na ako itatago.,1478261145941118977
170,2021 Year Review,1476858129086554114
171,"Gago ang saya ko.
nagkita kami, and nakumpleto yung taon ko",1476207372863373314
172,"I'm so fucking confused rn. 
Want to just feel the wind and think deeply of what I said.",1476187712700907521
173,"When self doubt kicks in. I have no fucking clue how to deal with it still. 
Achievements? Ano? 
Plans? All will fail. 
Skills? Fucking useless.",1475124676620091392
174,"Eto naaaaaa 
Isang tulog na lang",1475027004953346053
175,"Still fucked 
Like everything is according to plan 
but fucking hell why is everyone disappointed. 
Everyone but you",1474738914669719554
176,"Mah guy, just leave me on my own devices and I'll ask for help when I need it.",1474722761633251329
177,"So total independence gusto nyo na gawin ko? 
Yung di nyo na ako makikita?",1474710591591706625
178,"I fuckin made it all by myself. 
Why the fuck is thay still not the standard?",1474710430014574595
179,I ain't growing any younger.,1474709435729657856
180,What a fucking year it was.,1474709072951709698
181,"I'm in the 'Could you all just fuck off' mood. 
HAAHHAHAHAH",1473966785569308677
182,Sinetch yung namroblema agad sa problema na wala pa?,1473337205758525444
183,"""Piliin sana ako gaya ng pagpili ko sa'yo""
- Of confused thoughts meant to hide.",1473107419995996162
184,QUICK! SAY SOMETHING STUPID.,1472995776116625411
185,https://t.co/LoI6jU6EVR https://t.co/54NSOr8jbP,1472499413948186629
186,So proud of the people that I work with &lt;3,1471149191871172610
187,"Nahihilo, nalilito
Asan nga ba ang demo neto?",1470693958665728002
188,"*Bought Witcher 3 and all of its dlc
*Have all the time to play it
*Still won't play it 
*Mind is looking to work",1469968065702297602
189,"Always felt stupid. 
Wasn't baseless after all.",1469916556205629441
190,"Relationship sure is hard.
It's scary as hell. But somehow I still want to do it .",1469685575326511104
191,"Recently, I came to believe that I've been incapable of crying my eyes out. 
But remembering the happyness that you give me made it rain hard where I stand.",1469483661565493251
192,"""Get a life. Just please don't let your world revolve on a single person again. We'll be fucked if all fails."" 
- Of thoughts.",1469342243538419717
193,"""Seriously, just stay still. Just stay still already.""
- Of thoughts.",1469341818349228033
194,"""Please be real still my heart."" 
- Dead.",1469340785120202754
195,"""Please be still my heart."" 
- Of thoughts to be ingrained.",1469339022132596739
196,"""Be still my heart.""
- Of thoughts to remember.",1469311262878101506
197,"So ayun, kaming dalawa lang pala yung shunga.",1469308256203931655
198,Don't expect other people to return the things that you do for them. Ikaw lang yung tanga na nagbigay ng lahat.,1469261180770258945
199,"Need to fix my mood, just before anything happens.",1469194096195473411
200,Fck? Why am I in such a bad mood? Did I kick my ego somewhere?,1469191846496591872
201,Silence has always been awkward for me.,1468609122811609095
202,"Someday, ma-t-tag din kita. And by then, sinagot mo na ako.",1467894698979127297
203,Being happy by my own is something I've been incapable of since I was young. It's always been constant feeling of lacking something very important.,1467886081920016391
204,Being a real dumdum for being happy in the dumbest of things.,1467884730578194435
205,"""I can wait. I'm already happy."" 
- Of grateful thoughts meant to tell you.",1467884464814510081
206,"""Kulang na kulang ako, 
Yun ang akala ko. 
Ngunit nung ika'y nakilala ko, 
Nalaman ko na sapat na 'ko."" 
- Of gentle thoughts meant to show",1467048417230995461
207,https://t.co/Peg2XeBlD2 https://t.co/p2nzT6FQtF,1467042402561310727
208,Kulang na kulang.,1466685629584924672
209,"""Kulang na kulang ka pa David""
- Of Damned thoughts meant to be burned in my mind.",1466684672654544901
210,Never expect again.,1466051452984389634
211,Haven't been eating well tbh.,1466002941932830720
212,"""All my insecurities are slowly going away because of you. Thank you."" 
- Of Grateful thoughts meant to be shared.",1466001860381184001
213,"Welp, I guess that's the end of that. 
I plan to never go into that position.",1466000740615274499
214,"Taena talaga, I feel awful as hell.",1465998972590301189
215,"I feel so goddamn awful for failing someone in their career. 
Goddamnit. I feel nauseas.",1465998064687075334
216,"Always had this feeling of ineptitude that never left me. 
Any suggestions how I can remove this?",1465980557385371651
217,"""Ikaw lagi ang pipiliin ko."" 
- Of Grateful thoughts meant to be shared.",1465978758716743684
218,"""Akala ko para sa'kin.""
- Of selfish thoughts never to come out",1464254818260717571
219,"""Wouldn't you be happy if naging 'tayo'?""
- Of ungrateful thoughts never to come out",1464252398499553282
220,"""I'm the toxic one in this relationship.""
- Of thoughts to be casted away.",1464236537160224768
221,"""Sana di na lang ako demanding sa attention mo"" 
- Of thoughts never meant to come out.",1464236039858315269
222,"""I just want to be happy with someone. Please. I'm spent. I'm tired.""
- Of tired thoughts never to come out.",1462979380100026371
223,"""Tangina gusto ko maging masaya bakit ba hindi pwede?
Lagi na lang ba ganito? 
Kailangan ko isakripisyo ang sarili ko para sa iba?
'Di ba pwede na 'ako' muna?""
- Of ideas never to come out.",1462818722867908612
224,"""Bakit ngayon ka pa hahabol kung kailan wala na? 
Bakit hindi noon kung kailan ipinaglalaban pa kita?
Bakit kung kailan masaya na ako, dun mo ipapakita na kailangan mo ako? 
Bakit parang ang dami ko pang pagkukulang sa'yo?""
- Of thoughts never to come out.",1462816926103597056
225,My head hurts and I can't eat cuz of it,1462747392365629452
226,Shangingangnang withdrawal sa kape yarn oh.,1462731160866344960
227,I wanna faken argue with someone,1461903645155282946
228,Wag ka na umiyak please. Ang selfish na.,1461734911916666882
229,Please David. Stop na.,1461734841863393283
230,David just stop. Please. You're being selfish.,1461734687613673472
231,"In the end, another's name got involved to hide. 
- of the same project, 2",1461720107298689031
232,"I want the world to know that I'm yours but I can't. I'm tied. You'll suffer the backlash instead of me.
- of the same project",1461718085484744705
233,I still am afraid. Damn.,1461589584945442817
234,"I'll be not sad because I still have responsibilities to fulfill, can't die just yet",1461332048551895041
235,"XXXTentacion's - Jocelyn Flores: 
""I'm in pain, wanna put ten shots in my brain
I've been trippin' 'bout some things, can't change.""",1461330077031882752
236,"Awat na di naman ma-a-address ih, so stahp na",1461329065969795075
237,Stahp na,1461328987662151687
238,Me to me: https://t.co/xAkwkTdFP0,1461328620920524807
239,Tangina bakit ka ba malungkot?,1461327600496758785
240,"Lagi na lang po ba malabo? 
Pwede po ba makakuha ng kompirmasyon?
Ano pa nga ba ang kulang? 
Ako nga ba'y ikinahihiya? 
Sino ako? Ano ba tayo? 

- Kalinawan",1461314162466836483
241,Kailangan ko ng kalinawan.,1461313326642655232
242,"Should just be happy with what I get? Yeah I think I should. STFU and enjoy. Nothing  good comes from expecting something. 
But in all honesty, it does make me sad.",1461313065849294854
243,Wen kaya?,1461255873213304835
244,How I got here? I don't know.,1461151893527224323
245,Earphones is no loner loud enough to drown the thoughts.,1461151273521082368
246,Ang labo,1461116889841602560
247,I feel so appreciated.  Damn. Ito na ba yung 'healthy relationship'?,1460443218630217728
248,Fucking someone unscrewed the cap on the soy!!!! Now there's too much!!!,1459937194546659328
249,Didn't think I was just a shadow of someone else.,1459933706676699139
250,And to think someone already called me out for it. Goddamn it.,1459933576107937796
251,Pass the fucking soy sauce please. I need it.,1459927949520490496
252,"Infamous in my own way. But seriously tho, people who know me, stop citing my name like it's a goddamn source material.",1459812201359822854
253,Me just venting hoping someone would reply,1459811294823944193
254,I twitter when I don't wanna say anything,1459800890005549060
255,Ako na lang sana ang pipilin araw araw.,1459797302189588488
256,Mf I dont know how2parent,1459764346020503558
257,Shuta permission to teleport na lang talaga kulang magteteleport na ako sayo,1459546414963322882
258,"Yep, it do be fine.",1459509436364431373
259,"I will buy motor to die in style 
Harurot sa NLEX para sumalpok sa 10 wheeler, it do be epic. and insta-fame for liek 10 secs",1459506798600155137
260,Thank fuck there's barely anyone who'll read this.,1459473010453200900
261,Man am I upset.,1459472762376908801
262,._.,1459472278538752001
263,Oh boy here we go again.,1459470325784010753
264,"Yup. Done. 
Work it is then.",1459470000872321035
265,"Ehem. 
Professional nga pala. Brb. Tapon ko lmag",1459469299274317827
266,Duuuuuhhh????!!! Helllooooo??? Yan ka lang duuuuuh????,1459468872344477700
267,Bakit ka magseselos? Wala nga kayo label e. Ilugar mo wag kang bobo,1459461077729644545
268,Insecure.,1459373215000657923
269,I'm a changed man. I need not to fret about mundane fcks.,1459372411783028738
270,tungunu mo i process mo yan.,1459372067011268610
271,I wan stress sa work. PLITH. LETSE ka Tadhana,1459370232535945217
272,"Yes I'm online at work, no I don't want to work.
Yes I have no choice, no I'm not in deadline.
YES I'M CONFUSED. NO IT'S NOT WORK. 
Damn do I wish I was just stressed in work.",1459369867157532672
273,My salary is directly directly proportional to my pride HAHAHAHA bobo,1459366911238574082
274,Here's to some more bs that I'll put to twitter.,1459366744833675268
275,"Stress is an understatement, I thonk",1459366597118808064
276,mf I need to process so much information in one day,1459366504416235525
277,"Nap time~ 
AAAAAAAAAAAAAAA &lt;3",1459062993610629124
278,"If may confidence lang ako ilagay ka sa myday 
Kese ekew nemen lege eng erew ku hihi",1458962498535657488
279,"Ehe... Lande 
Online story telling hihi",1458962160374091799
280,Masaet my head,1458797096987860998
281,I can't afford to love anyone just yet. Not yet. not good.,1455541668548124677
282,Frick,1455541080573845514
283,https://t.co/skB1sEgm28,1437691946365947905
284,I still like Supercell even if they haven't release anything for so long :[,1430389346331287557
285,Fowkin have a good pc but can't play anything now,1416683705536446465
286,Tumbling x1,1414445524145434624
287,"Bruh 
My body is so ready for a vacation",1413380343005016066
288,"Should not be jealous of someone that eggs on someone else to buy them something. 
#BuhatBayag",1413048351914807299
289,Me thinking about my monkey brain going hay wire,1411970386162438148
290,All Eyes On Me,1409382564855308288
291,Can't help but feel like I've been lied to HAHAHAHAHA,1406903512131244034
292,"I've been fucking trying to cry for the last 12 hours 
It's not working",1406302126339362821
293,Shameful,1405857181979738118
294,JUST FUCK. FUCK FUCK FUCK.,1405856219760185353
295,FCK. JUST FCK,1405856010846171136
296,Kingina mooooo reeee,1400810146679246848
297,"Sa twitter maginay
REEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE",1400809697565839369
298,I'm kinda ded  agin,1393834665979510787
299,"No fucking why I can't settle down, I can't play game, I can't code. 
It's the fucken book that's staring down at me waiting me to take it and read the entirety of it. Bruh",1388803765839351808
300,I'll write my own success story.,1383718111900098560
301,22 and still have nothing.,1374189017164488704
302,Remind me to never celebrate my birthday.,1373969458851541000
303,On a scale of 1 - 10 how dumb am I?,1373857740930510852
304,I'm not breathing properly again.,1372849615070892033
305,It's really my fault for expecting.,1372849169929359361
306,Take on life by the horns.,1368773540405682179
307,"I'll keep silent. 
I won't play the victim card.
I'll soldier on. 
I'll keep to myself.",1368478808320266251
308,"Aight 
Imma take a bath and take this by the horn",1368406787360124929
309,"It's weird, I feel like I'm holding my breath for some reason, but when I get to talk to you, it's like I finally learned to breath normally.",1368404535425650692
310,I fell in love. Bruh.,1363447146087919619
311,"Had a black part in my mind, seems like I just fell out of love.",1362671301589049346
312,"I remember the times when I was really dumb that my food for recess was the same old ""Crossini tsaka juice, lista kay mami""  in a really high voice.",1361566259104550916
313,Im so tired.,1360666166117638145
314,"Dearest Camille, 

Happy Valentines. It's really sad that maybe this is the last valentines I'll spend with you.  I love you so much. But the feeling of fear of you leaving is always there. I feel like I'm begging for you to stay. Like everything will cave in if I slip up.",1360663536867840000
315,"I think I'm done with multiplayer games.
I don't wanna play them anymore.",1360629055981113349
316,"Yung Valentines bukas pero single ka. 
Hihi.",1360564407302987782
317,I WANT A FUCK OFF PILL,1356594034777546756
318,my corporate work went up,1355159579953258499
319,"So that's like Apple. 
Hahahah",1349388152578793473
320,"Another.
Healing stones.  Technically not ""Nothing"" 
But get a random stone, be charismatic enough and convincing. You might just be able to sell it. Actually, I might try that. 
Sell an idea and not the product itself.",1349388103656427520
321,"Something from nothing?
Feng shui prediction. Why do so many believe it? They wanted to sell an idea that furniture placement affect you. Well they did it. Your belief on feng shui made you a susceptible market for it.",1349387741285412869
322,"I don't get why people always use ""anger"" as an excuse for their bad behaviours. 
If you're mad then doesn't that just mean you're releasing everything that has pent up? 
So all those things you say or do are actually what you truly are.",1341799482803986432
323,"Bruh. Wala akong pake? Nanaman? 
Lagi na lang.",1336370079999483904
324,Haa... Let it go.,1332376495319236608
325,"希望 , 喜び? 
Hope and joy?
Uhhh where the fuq did the ""Liwanag"" go? 
https://t.co/hSalD3aWyW https://t.co/O3zmy8wPUd",1332344311376068609
326,"TARA NGA ayop na yan 
Inom tayo habang nag s-sea of thieves para sakto-sakto https://t.co/X8xmLPCaEj",1332342357321076736
327,Oks talaga :),1332341773486551046
328,"Tangina ang sakit din pala. 
Yung lahat sila nakabati sa wall nya tapos ikaw, kahit isa wala. 
Oks.",1332341506787528704
329,Unpopular opinion: Just wait for another wave of manufacture of Ps5 instead of buying from scalpers.,1332175426186223623
330,Succ mah pp. https://t.co/BuSOaR9xYr,1330720873511153664
331,Arat. https://t.co/FQqjNvMjc6,1330720549081808904
332,Months pass and I continue to tell myself that I love her because that's the way I want it to be. This led me to the confusion that I was the one that was exerting the effort to keep our relationship afloat. But the reality is that it was her all along. https://t.co/THJIEC5odF,1330448535045636096
333,"I know that I'm not fit to be with her, but I at least want to try my best. But recently, I'm starting to question my love for her. It's so hypocritical of me, more so that my mind made it to this point. She's given so much to me and yet I continue to take advantage of her. https://t.co/7dzLrAo8Uq",1330447748412231681
334,But I started to forget. This should say a lot on the situation that mind is going through. This pandemic absolutely made a large rift to the both of us. But it seems like I've never been giving her much of the love that I gave from the start. https://t.co/bJVDJEkFou,1330446869487624192
335,"I barely remember the most romantic event in my life. 
The stupid me played ""Lover"" to set the mood, then I gave my girlfriend a gift. And the gift was so significant to her that she started bawling her eyes out. This memory means a lot to the both of us.",1330446595784060934
336,You need to get hit by Truck-kun. https://t.co/n8gAJpVICg,1330445936175112192
337,"Nag-IPO some weeks ago saka naman nasira ng todo-todo service. 
Luh?",1328759321589547009
338,Tara laro https://t.co/KnUpaNDjcJ,1325387281528598530
339,Samedt. https://t.co/WF85pHBQ1K,1315629414047129600
340,"That moment when ready na ready ka na sa trade and potential risks then kulang capital. 
FML",1315627984712130564
341,"Roses are red;
Violets are blue; 
On September 27; 
I'm going to you.",1306264369815199745
342,"""Ang childish mo""
Oh thanks.""""",1305739578913861632
343,And thus you got a rejection from the person you wanted confirmation.,1305158524024942595
344,"I live in a constant state of fear and misery
Do you miss me anymore?
And I don't even notice
When it hurts anymore
Anymore
Anymore
Anymore",1304851185262759936
345,... oof.,1301545390005579776
346,Haaa... ang sakit.,1301499983103799303
347,It's usually those small sighs at the end can you really hear what your subconscious tells you.,1301499951860428803
